,Object name,Astrometric RA (hh:mm:ss),"Astrometric Dec (dd mm'ss"")","Dist. from center RA ("")","Dist. from center Dec ("")","Dist. from center Norm ("")",Visual magnitude (V),"RA rate (""/h)","Dec rate (""/h)",ra,dec,V_mag,name_x,id_x,Absolute magntiude (H),Magnitude slope (G),Eccentricity,Perihelion (au),Time of perihelion passage (JD),Longitude of ascending node (deg),Argument of perihelion (deg),Inclination (deg),Epoch (JD),H_mag,name_y,id_y
0,620 Drakonia (A906 UO),17:49:08.50,-29:33:27.8,-489.,-2.E3,2433.,16.1,60.09,-5.175,267.2854166666666,-29.557722222222225,16.1,620 Drakonia,A906 UO,11.00,0.15,0.134558452,2.1086995,2460346.42220,359.91785,336.71044,7.7338429,2460600.5,11.00,620 Drakonia,A906 UO
1,3446 Combes (1942 EB),17:50:52.95,-27:08:28.1,882.,6.E3,6379.,18.8,52.52,-5.352,267.720625,-27.14113888888889,18.8,3446 Combes,1942 EB,13.54,0.15,0.158394595,1.9994358,2461071.65007,34.632565,95.638537,7.6802637,2460600.5,13.54,3446 Combes,1942 EB
2,9652 (1996 AF2),17:48:17.38,-28:19:33.6,-1.E3,2.E3,2358.,18.1,68.16,-1.856,267.07241666666664,-28.326,18.1,9652,1996 AF2,13.47,0.15,0.16817653,2.0098408,2459964.05710,318.96165,243.38344,5.9699636,2460600.5,13.47,9652,1996 AF2
3,12723 (1991 PD10),17:50:14.39,-29:38:34.9,376.,-3.E3,2717.,19.3,55.89,-2.928,267.55995833333327,-29.643027777777778,19.3,12723,1991 PD10,14.05,0.15,0.039980729,2.2738656,2460879.58836,331.97091,119.95944,7.2703762,2460600.5,14.05,12723,1991 PD10
4,14501 Tetsuokojima (1995 WA8),17:48:41.41,-27:37:51.1,-845.,5.E3,4632.,20.5,54.71,-3.473,267.17254166666663,-27.630861111111113,20.5,14501 Tetsuokojima,1995 WA8,15.30,0.15,0.144379529,1.8866754,2460732.17059,0.43769231,39.850922,5.2941049,2460600.5,15.30,14501 Tetsuokojima,1995 WA8
5,24109 (1999 VO20),17:48:39.96,-30:00:40.5,-864.,-4.E3,4107.,19.3,45.96,1.933,267.1665,-30.01125,19.3,24109,1999 VO20,13.61,0.15,0.100260257,2.3230581,2460704.49108,281.73093,150.24157,14.30826,2460600.5,13.61,24109,1999 VO20
6,30093 McClanahan (2000 ES135),17:50:12.33,-28:30:59.4,349.,1.E3,1409.,19.3,65.18,-10.36,267.55137499999995,-28.5165,19.3,30093 McClanahan,2000 ES135,14.31,0.15,0.283323008,1.9090003,2460069.75500,40.224860,283.50512,13.207549,2460600.5,14.31,30093 McClanahan,2000 ES135
7,34894 (2012 P-L),17:50:23.19,-30:22:47.7,492.,-5.E3,5366.,21.3,43.25,-4.006,267.59662499999996,-30.379916666666666,21.3,34894,2012 P-L,15.29,0.15,0.307340278,1.8862008,2460260.82870,356.41507,26.125036,8.1779892,2460600.5,15.29,34894,2012 P-L
8,36752 (2000 RZ69),17:49:38.67,-29:10:06.8,-93.2,-983.,987.0,20.5,50.82,-5.641,267.41112499999997,-29.168555555555557,20.5,36752,2000 RZ69,14.88,0.15,0.110166162,2.4693632,2460131.95920,19.881073,321.84179,8.5807532,2460600.5,14.88,36752,2000 RZ69
9,37488 (3203 T-1),17:50:01.34,-27:36:44.5,205.,5.E3,4624.,21.0,57.34,-3.11,267.5055833333333,-27.612361111111113,21.0,37488,3203 T-1,15.88,0.15,0.084125588,2.0936245,2461061.32230,352.38734,135.45893,5.0636124,2460600.5,15.88,37488,3203 T-1
10,41516 (2000 QN181),17:48:30.24,-28:45:46.8,-992.,477.,1101.,19.9,47.59,-8.774,267.12600000000003,-28.763,19.9,41516,2000 QN181,14.32,0.15,0.12580946,2.2371912,2460968.04791,43.541292,78.813949,13.732687,2460600.5,14.32,41516,2000 QN181
